,text,lang,country
0,"RT @mickey228: ネパール中部で地震M7.9　NHK pm6
#Pray4Nepal #Earthquake #Nepal #Kathmandu #NepalQuake
#India #Modi #ネパール http://t.co/lIA6rvszVL",ja,
1,"RT @mickey228: ネパール中部で地震M7.9　NHK pm6
#Pray4Nepal #Earthquake #Nepal #Kathmandu #NepalQuake
#India #Modi #ネパール http://t.co/lIA6rvszVL",ja,
2,"ネパール中部で地震M7.9　NHK pm6
#Pray4Nepal #Earthquake #Nepal #Kathmandu #NepalQuake
#India #Modi #ネパール http://t.co/aq5Vff8HZv",ja,日本
3,"@Shehzad_Ind yes,this has to be exposed. #Modi's attempts to appear secular are nothing but cheap chicanery to garner(he hopes) Muslim votes",en,
4,I like a blog Modii on http://t.co/pi0UZbpyp3 #Modi  http://t.co/kb2zHzlWHL via @itimestweets,en,
5,RT @FaithAtheismCen: #temple #dharma PastPresentFuture site airs 2002 #riot haunts PM bidder #Modi Can he win http://t.co/E4EkWmQk0z  http:…,en,
6,"RT @mickey228: ネパール中部で地震M7.9　NHK pm6
#Pray4Nepal #Earthquake #Nepal #Kathmandu #NepalQuake
#India #Modi #ネパール http://t.co/lIA6rvszVL",ja,
7,"ネパール中部で地震M7.9
#Pray4Nepal #Earthquake #Nepal #Kathmandu #NepalQuake
#India #Modi 
#ネパール：日本人約1000人が在留届けを提出
安否不明、確認中 http://t.co/ehgh13mXeh",ja,日本
8,"RT @mickey228: ネパール中部で地震M7.9　NHK pm6
#Pray4Nepal #Earthquake #Nepal #Kathmandu #NepalQuake
#India #Modi #ネパール http://t.co/aq5Vff8HZv",ja,
9,"घोषणा पत्र के अनुसार मोदी सरकार ने कौन से वादो को पूरा किया,,,???
अपनी रॉय दे वोट करे,,, http://t.co/sZaKZiJFci
#BJP #Modi #ModiOnMetro",hi,
10,#namo4PM Despised by Indian media feared by I Congress &amp; rejected by the West should #Modi be PM of India http://t.co/4FSUwUdPlj,en,
11,#NDRF &amp; #IAF on standby after #earthquake.Modi will decide on relief operations in Nepal after Cabinet emergency meeting at 3 P.M #Modi,en,India
12,"RT @mickey228: ネパール中部で地震M7.9
#Pray4Nepal #Earthquake #Nepal #Kathmandu #NepalQuake
#India #Modi 
#ネパール：日本人約1000人が在留届けを提出
安否不明、確認中 http://t.…",ja,
